;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;0.576;1.030;1.238;1.183;0.975;0.662;0.274;0;0;0;0;0;0;0;0
3;3.832;8.767;14.238;18.566;22.173;25.241;27.872;30.130;32.061;35.079;39.706;37.171;0;0;0
6;9.769;24.032;46.268;72.422;81.373;83.473;83.755;83.378;82.722;81.111;73.214;66.887;33.856;0;0
9;19.924;100.521;104.272;101.860;99.452;97.299;95.383;93.661;92.099;89.344;79.609;72.940;43.454;0;0
12;118.195;116.071;110.400;106.402;103.308;100.767;98.600;96.703;95.011;92.080;82.045;75.353;47.257;2.774;0
15;127.595;119.202;112.554;108.232;104.971;102.327;100.090;98.143;96.414;93.432;83.319;76.642;49.286;7.723;0
18;130.050;120.617;113.662;109.222;105.896;103.212;100.948;98.981;97.238;94.236;84.100;77.442;50.546;11.554;0
21;131.251;121.429;114.337;109.842;106.486;103.783;101.506;99.530;97.780;94.769;84.628;77.987;51.405;14.293;0
24;131.970;121.957;114.793;110.268;106.895;104.181;101.897;99.916;98.162;95.148;85.009;78.382;52.028;16.257;0
27;132.451;122.328;115.121;110.577;107.195;104.475;102.187;100.203;98.448;95.431;85.296;78.681;52.500;17.669;0
30;132.796;122.604;115.369;110.813;107.424;104.701;102.410;100.425;98.668;95.651;85.520;78.915;52.870;18.745;0
